OTU ID	"NDM.2A"	"old.050A"	"FND.20A"	"Plate1ExtracPosControl"	"MD.14A"	"NDM.12A"	"MD.23A"	"NDM.22A"	"old.033A"	"FND.5A"	"old.041G"	"FND.13A2"	"NDM.2G"	"old.050G"	"FND.22G"	"MD.14G"	"NDM.12G"	"MD.23G"	"NDM.22G"	"old.033G"	"FND.5G"	"MD.17A2"	"FND.14G"	"NDM.3A"	"MD.8A"	"MD.1A"	"Plate1PCRPositiveControl"	"MD.15A"	"NDM.13A"	"old.026A"	"NDM.23A"	"old.034A"	"FND.7A"	"old.042G"	"FND.15A"	"NDM.3G"	"MD.8G"	"MD.1G"	"MD.15G"	"NDM.13G"	"old.026G"	"NDM.23G"	"old.034G"	"FND.7G"	"old.043A"	"FND.15G"	"MD.17A"	"MD.9A"	"MD.2A"	"NDM.5A"	"NDM.15A"	"old.035A"	"FND.8A"	"old.043G"	"FND.16A"	"NDM.5G"	"MD.9G"	"MD.2G"	"MD.17G"	"NDM.15G"	"FND.8G"	"old.044A"	"FND.16G"	"NDM.6A"	"FND.18A"	"MD.4A"	"MD.18A"	"NDM.17A"	"old.028A"	"FND.9A"	"old.044G"	"FND.17A"	"NDM.6G"	"FND.18G"	"MD.4G"	"MD.18G"	"NDM.17G"	"old.028G"	"FND.9G"	"old.045A"	"FND.17G"	"MD.10A"	"MD.5A"	"Plate2ExtracPosControl"	"NDM.7A"	"MD.19A"	"NDM.18G"	"old.029A"	"FND.1A"	"old.037A"	"FND.10A"	"old.045G"	"MD.10G"	"NDM.7G"	"MD.19G2"	"NDM.18A"	"old.029G"	"FND.1G"	"old.037G"	"FND.10G"	"old.046A"	"MD.11A"	"FND.19A"	"MD.7A"	"Plate2PCRPositiveControl"	"NDM.8A"	"MD.20A"	"NDM.19A"	"old.030A"	"FND.2A"	"old.038A"	"FND.11A"	"old.046G"	"MD.11G"	"FND.19G"	"MD.7G"	"NDM.8G"	"MD.20G"	"NDM.19G"	"old.030G"	"FND.2G"	"old.038G"	"FND.11G"	"old.047A"	"MD.12A"	"NDM.24A"	"NDM.10A"	"MD.21A"	"old.032G"	"NDM.20A"	"FND.3A"	"old.039G"	"FND.12A"	"old.048A"	"MD.12G"	"FND.20G"	"NDM.24G"	"NDM.10G"	"MD.19G"	"NDM.20G"	"old.031A"	"FND.3G"	"old.040A"	"FND.12G"	"old.048G"	"MD.13A"	"FND.21A"	"NDM.25A"	"NDM.11A"	"MD.22A"	"NDM.21A"	"old.031G"	"FND.4A"	"old.040G"	"FND.13A"	"old.049A"	"MD.13G"	"FND.21G"	"NDM.25G"	"NDM.11G"	"MD.22G"	"NDM.21G"	"old.032A"	"FND.4G"	"old.041A"	"FND.13G"	"old.049G"
"06a729018eab116b08e5acd9356f3b40"	0.0	3.0	326.0	2.0	605.0	690.0	299.0	146.0	723.0	512.0	216.0	1039.0	2064.0	680.0	301.0	751.0	1615.0	702.0	4932.0	537.0	943.0	1091.0	1680.0	525.0	1399.0	595.0	0.0	280.0	0.0	688.0	423.0	1076.0	824.0	684.0	2250.0	323.0	347.0	824.0	808.0	450.0	2005.0	2496.0	1180.0	409.0	1417.0	516.0	379.0	2092.0	573.0	1988.0	888.0	958.0	1391.0	1360.0	0.0	2121.0	950.0	518.0	159.0	2893.0	633.0	0.0	1203.0	1038.0	1782.0	298.0	1339.0	19.0	2188.0	2.0	4604.0	469.0	1885.0	929.0	1226.0	1589.0	4.0	2099.0	815.0	1179.0	1554.0	221.0	333.0	20.0	56.0	0.0	719.0	1355.0	1511.0	676.0	1235.0	1009.0	261.0	816.0	381.0	738.0	1157.0	1334.0	520.0	0.0	1149.0	1877.0	402.0	626.0	0.0	1777.0	1887.0	367.0	1906.0	446.0	5.0	1207.0	1359.0	581.0	514.0	1213.0	581.0	458.0	560.0	1249.0	480.0	1572.0	416.0	453.0	928.0	797.0	0.0	361.0	887.0	564.0	3.0	3716.0	5.0	3.0	350.0	520.0	299.0	1034.0	307.0	667.0	0.0	1689.0	2323.0	1637.0	4659.0	1665.0	1597.0	0.0	484.0	1641.0	469.0	1777.0	497.0	858.0	6.0	2254.0	327.0	1.0	360.0	593.0	1488.0	827.0	1263.0	0.0	1388.0	418.0	562.0
"062456781d8cf476236e9b0d443390fa"	0.0	11.0	7.0	6.0	1488.0	134.0	3825.0	0.0	975.0	3.0	681.0	0.0	270.0	423.0	11.0	1196.0	0.0	430.0	3.0	1275.0	2387.0	1772.0	1669.0	0.0	1915.0	1094.0	0.0	166.0	0.0	18.0	3545.0	379.0	6.0	0.0	21.0	1328.0	2361.0	286.0	165.0	0.0	0.0	43.0	1774.0	5.0	0.0	3933.0	2663.0	464.0	3610.0	1031.0	474.0	1144.0	1984.0	708.0	10.0	148.0	43.0	727.0	1775.0	26.0	3544.0	2.0	860.0	0.0	3.0	2133.0	0.0	95.0	525.0	3.0	0.0	9.0	498.0	1180.0	450.0	0.0	0.0	36.0	1.0	157.0	0.0	663.0	2203.0	34.0	88.0	3.0	0.0	0.0	50.0	43.0	660.0	77.0	1089.0	22.0	2511.0	1208.0	38.0	2004.0	1625.0	0.0	18.0	29.0	6.0	329.0	0.0	160.0	0.0	4.0	34.0	0.0	0.0	0.0	993.0	2703.0	0.0	951.0	2573.0	153.0	11.0	1886.0	2069.0	32.0	0.0	66.0	634.0	594.0	0.0	6.0	2365.0	0.0	0.0	493.0	0.0	44.0	1298.0	2129.0	881.0	13.0	3322.0	5265.0	783.0	11.0	0.0	21.0	33.0	837.0	60.0	0.0	5.0	845.0	3592.0	425.0	7100.0	2269.0	4.0	4.0	60.0	0.0	5.0	459.0	643.0	978.0	1857.0	0.0	70.0	2953.0	2272.0
"47b139c23fd36dd477ca5b89bcc86f7b"	271.0	0.0	1365.0	7.0	365.0	56.0	755.0	63.0	1228.0	320.0	12.0	1639.0	314.0	0.0	22.0	288.0	2162.0	370.0	1102.0	335.0	1094.0	37.0	296.0	2840.0	949.0	367.0	0.0	0.0	2659.0	200.0	130.0	193.0	1664.0	1447.0	22.0	95.0	320.0	547.0	26.0	768.0	31.0	389.0	0.0	1337.0	1985.0	1706.0	109.0	567.0	0.0	264.0	547.0	788.0	28.0	419.0	4771.0	216.0	50.0	153.0	26.0	38.0	1149.0	0.0	80.0	1064.0	2701.0	1098.0	91.0	652.0	614.0	2218.0	5.0	1909.0	1610.0	483.0	280.0	427.0	0.0	274.0	0.0	93.0	157.0	320.0	251.0	51.0	259.0	505.0	75.0	47.0	157.0	260.0	99.0	137.0	42.0	1155.0	118.0	65.0	1458.0	386.0	337.0	0.0	642.0	79.0	2875.0	452.0	0.0	0.0	105.0	1006.0	353.0	551.0	0.0	30.0	225.0	912.0	40.0	498.0	958.0	395.0	1403.0	503.0	437.0	174.0	1255.0	206.0	0.0	0.0	2949.0	3876.0	304.0	2110.0	6.0	27.0	9601.0	148.0	323.0	33.0	385.0	1850.0	92.0	928.0	0.0	1568.0	1722.0	51.0	70.0	327.0	58.0	0.0	3233.0	170.0	713.0	642.0	30.0	236.0	1211.0	571.0	505.0	357.0	141.0	315.0	244.0	213.0	670.0	1542.0	623.0	1132.0	82.0
"1c949cdda394b0fabad433132742cd61"	5101.0	273.0	810.0	8.0	1121.0	3078.0	119.0	755.0	725.0	1471.0	153.0	47.0	397.0	1025.0	61.0	478.0	766.0	1464.0	162.0	243.0	345.0	1718.0	259.0	648.0	718.0	848.0	0.0	0.0	1321.0	485.0	159.0	134.0	1111.0	1166.0	0.0	1454.0	781.0	1747.0	329.0	309.0	129.0	257.0	811.0	358.0	285.0	551.0	128.0	979.0	664.0	813.0	655.0	1061.0	2815.0	503.0	649.0	774.0	723.0	596.0	762.0	48.0	286.0	25.0	1001.0	1326.0	343.0	643.0	323.0	110.0	1224.0	33.0	0.0	2390.0	82.0	1037.0	833.0	264.0	0.0	219.0	280.0	1243.0	2643.0	708.0	1145.0	121.0	51.0	899.0	445.0	386.0	132.0	768.0	1332.0	518.0	391.0	309.0	1004.0	364.0	847.0	413.0	724.0	1190.0	1008.0	1519.0	26.0	516.0	0.0	0.0	627.0	485.0	710.0	379.0	362.0	52.0	459.0	538.0	97.0	1190.0	1362.0	779.0	959.0	514.0	653.0	73.0	769.0	401.0	231.0	2935.0	867.0	610.0	460.0	2745.0	0.0	93.0	3.0	102.0	380.0	589.0	751.0	879.0	923.0	814.0	0.0	720.0	216.0	0.0	190.0	202.0	157.0	3708.0	425.0	470.0	870.0	349.0	2680.0	592.0	0.0	108.0	618.0	201.0	735.0	836.0	0.0	615.0	1080.0	188.0	20.0	749.0	1096.0
"535a7cd47525b30cd2485a6f45ac2241"	599.0	213.0	245.0	0.0	370.0	631.0	91.0	88.0	284.0	1006.0	150.0	1067.0	950.0	409.0	26.0	315.0	295.0	345.0	998.0	199.0	320.0	785.0	295.0	310.0	754.0	175.0	0.0	216.0	664.0	1693.0	363.0	549.0	576.0	1045.0	4177.0	361.0	165.0	948.0	629.0	1442.0	1130.0	262.0	571.0	457.0	1036.0	173.0	238.0	282.0	177.0	391.0	447.0	740.0	500.0	233.0	1179.0	812.0	63.0	435.0	1004.0	564.0	593.0	973.0	327.0	883.0	770.0	113.0	250.0	969.0	998.0	1384.0	4143.0	2269.0	601.0	1084.0	686.0	897.0	6940.0	404.0	2342.0	1396.0	1163.0	382.0	84.0	41.0	62.0	261.0	56.0	515.0	1116.0	259.0	641.0	468.0	350.0	1782.0	262.0	243.0	673.0	823.0	139.0	124.0	953.0	756.0	699.0	707.0	0.0	813.0	776.0	59.0	283.0	198.0	1976.0	381.0	279.0	253.0	24.0	189.0	241.0	373.0	218.0	557.0	342.0	202.0	249.0	771.0	294.0	677.0	1469.0	351.0	1323.0	1601.0	11.0	915.0	1458.0	369.0	369.0	207.0	414.0	421.0	175.0	465.0	1517.0	676.0	3758.0	12.0	218.0	247.0	294.0	566.0	429.0	351.0	278.0	324.0	276.0	250.0	1091.0	248.0	447.0	839.0	349.0	318.0	1979.0	1267.0	523.0	2435.0	127.0	289.0	1201.0
"aeb17e417b8076ce7412be4584ba8eb5"	7.0	222.0	50.0	19957.0	7.0	123.0	1322.0	3.0	2922.0	13.0	6.0	2.0	3.0	71.0	115.0	5.0	1.0	19.0	0.0	653.0	3.0	11.0	40.0	192.0	6.0	0.0	20000.0	269.0	2.0	0.0	11.0	274.0	22.0	0.0	0.0	464.0	0.0	4.0	18.0	0.0	42.0	40.0	0.0	10.0	0.0	0.0	5.0	227.0	0.0	0.0	0.0	0.0	0.0	4.0	20.0	0.0	1.0	17.0	1.0	0.0	11.0	332.0	17.0	0.0	49.0	11.0	0.0	4.0	0.0	4.0	16.0	36.0	13.0	14.0	0.0	5.0	0.0	0.0	0.0	0.0	11.0	24.0	9.0	17528.0	1583.0	13.0	55.0	0.0	50.0	2.0	4.0	2.0	0.0	0.0	0.0	98.0	0.0	0.0	13.0	21.0	7.0	3.0	41.0	22.0	20000.0	0.0	650.0	142.0	2.0	10.0	7.0	4.0	0.0	0.0	458.0	0.0	4.0	0.0	3738.0	14.0	0.0	0.0	19.0	4.0	50.0	10.0	1.0	0.0	0.0	5.0	380.0	47.0	26.0	169.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	1381.0	33.0	29.0	6.0	10.0	611.0	17.0	13.0	1.0	64.0	0.0	4.0	10056.0	20.0	0.0	0.0	0.0	94.0	23.0	0.0	12.0	0.0	35.0	19.0
"8d23a1fd23f5994f42b6aff21949a6d6"	9.0	0.0	0.0	0.0	1171.0	38.0	1065.0	0.0	306.0	0.0	159.0	0.0	20.0	0.0	15.0	667.0	0.0	634.0	0.0	49.0	870.0	1458.0	942.0	0.0	1188.0	1287.0	0.0	96.0	0.0	0.0	0.0	533.0	0.0	101.0	0.0	1284.0	1405.0	250.0	290.0	0.0	37.0	74.0	852.0	0.0	0.0	712.0	3457.0	183.0	2177.0	131.0	1512.0	491.0	1468.0	457.0	0.0	224.0	74.0	0.0	446.0	0.0	0.0	0.0	122.0	19.0	0.0	1339.0	879.0	363.0	0.0	0.0	0.0	0.0	350.0	0.0	347.0	21.0	9.0	39.0	0.0	172.0	0.0	775.0	2480.0	45.0	19.0	0.0	0.0	12.0	0.0	49.0	0.0	93.0	3398.0	7.0	1071.0	0.0	52.0	85.0	758.0	0.0	0.0	61.0	0.0	988.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	1504.0	1457.0	11.0	1870.0	479.0	546.0	0.0	481.0	1024.0	0.0	0.0	576.0	379.0	234.0	0.0	0.0	540.0	0.0	0.0	255.0	0.0	0.0	1517.0	2311.0	175.0	0.0	1622.0	1172.0	99.0	0.0	73.0	0.0	0.0	804.0	0.0	0.0	0.0	731.0	1252.0	272.0	0.0	875.0	0.0	0.0	227.0	0.0	0.0	0.0	237.0	1518.0	1250.0	0.0	79.0	2833.0	494.0
"2d75eb30aaf371f0eb229df581806358"	368.0	0.0	656.0	0.0	729.0	264.0	324.0	250.0	505.0	1080.0	49.0	232.0	825.0	1146.0	48.0	606.0	911.0	576.0	0.0	516.0	873.0	62.0	1489.0	25.0	153.0	468.0	0.0	360.0	0.0	184.0	18.0	202.0	226.0	214.0	9.0	922.0	585.0	921.0	1946.0	749.0	185.0	161.0	447.0	62.0	102.0	385.0	230.0	536.0	273.0	556.0	766.0	431.0	278.0	559.0	503.0	250.0	314.0	1551.0	1063.0	130.0	854.0	14.0	277.0	37.0	0.0	490.0	1132.0	1321.0	456.0	0.0	0.0	0.0	321.0	287.0	416.0	187.0	9.0	257.0	0.0	140.0	343.0	766.0	236.0	0.0	48.0	0.0	209.0	268.0	27.0	1866.0	387.0	289.0	236.0	260.0	554.0	409.0	472.0	272.0	335.0	0.0	716.0	1344.0	0.0	123.0	0.0	178.0	0.0	154.0	351.0	419.0	0.0	0.0	504.0	1026.0	22.0	1185.0	1473.0	1113.0	740.0	721.0	953.0	220.0	593.0	168.0	217.0	750.0	0.0	0.0	1825.0	0.0	9.0	514.0	0.0	351.0	885.0	292.0	1143.0	599.0	682.0	160.0	0.0	171.0	51.0	20.0	28.0	157.0	276.0	0.0	826.0	496.0	303.0	276.0	0.0	367.0	0.0	156.0	416.0	0.0	928.0	419.0	567.0	932.0	777.0	0.0	58.0	93.0	1100.0
"2f8edb18b75c2d9f90ed60eb64eef460"	383.0	925.0	168.0	0.0	311.0	609.0	141.0	192.0	480.0	519.0	29.0	452.0	917.0	466.0	38.0	486.0	1102.0	563.0	315.0	445.0	273.0	364.0	183.0	516.0	255.0	334.0	0.0	982.0	344.0	623.0	734.0	127.0	403.0	455.0	70.0	194.0	267.0	649.0	401.0	577.0	1302.0	958.0	806.0	150.0	1431.0	612.0	11.0	597.0	764.0	814.0	395.0	516.0	373.0	255.0	341.0	436.0	177.0	343.0	212.0	374.0	196.0	737.0	361.0	1600.0	336.0	208.0	977.0	390.0	383.0	129.0	1943.0	875.0	438.0	372.0	568.0	926.0	0.0	228.0	0.0	1627.0	421.0	371.0	122.0	10.0	1055.0	0.0	124.0	440.0	535.0	269.0	319.0	444.0	702.0	511.0	192.0	99.0	621.0	497.0	74.0	153.0	473.0	2106.0	0.0	343.0	0.0	299.0	72.0	309.0	256.0	227.0	542.0	182.0	618.0	290.0	192.0	202.0	625.0	268.0	69.0	590.0	279.0	253.0	239.0	303.0	183.0	956.0	216.0	265.0	783.0	0.0	0.0	313.0	247.0	203.0	155.0	364.0	429.0	416.0	205.0	271.0	0.0	239.0	543.0	0.0	206.0	326.0	190.0	0.0	289.0	290.0	252.0	250.0	208.0	193.0	270.0	451.0	495.0	24.0	304.0	287.0	354.0	227.0	487.0	692.0	132.0	241.0	367.0
"b0b8c626e80cd5c4bc7b3d71dc549e7b"	1076.0	462.0	160.0	8.0	286.0	134.0	33.0	40.0	352.0	443.0	46.0	48.0	692.0	732.0	13.0	293.0	121.0	549.0	674.0	260.0	677.0	458.0	479.0	80.0	88.0	222.0	0.0	521.0	0.0	308.0	79.0	202.0	1173.0	902.0	0.0	357.0	196.0	155.0	1159.0	1168.0	1308.0	1279.0	628.0	452.0	854.0	180.0	289.0	614.0	313.0	985.0	362.0	460.0	380.0	324.0	213.0	735.0	40.0	298.0	330.0	416.0	272.0	982.0	298.0	349.0	863.0	88.0	387.0	676.0	908.0	248.0	0.0	398.0	542.0	291.0	263.0	519.0	2.0	443.0	174.0	891.0	1076.0	143.0	104.0	113.0	79.0	1075.0	61.0	523.0	553.0	177.0	306.0	219.0	214.0	1194.0	285.0	248.0	626.0	177.0	58.0	107.0	230.0	225.0	98.0	400.0	0.0	1310.0	250.0	128.0	664.0	313.0	0.0	447.0	228.0	303.0	33.0	231.0	662.0	146.0	517.0	345.0	162.0	204.0	490.0	520.0	158.0	327.0	0.0	121.0	56.0	0.0	0.0	0.0	130.0	256.0	241.0	288.0	702.0	525.0	166.0	442.0	898.0	677.0	156.0	17.0	588.0	190.0	240.0	0.0	173.0	148.0	189.0	196.0	94.0	155.0	597.0	233.0	221.0	362.0	266.0	445.0	314.0	406.0	196.0	631.0	200.0	304.0	234.0
